train_idx,bench_id,bench_query_source,query
23,RLAIF-V-76753,COCO,Can you point out the details that make this image unique?
24,RLAIF-V-1169,LCS-558K,Describe the key features of the image in great detail.
24,RLAIF-V-2500,COCO,Describe the key features of the image in great detail.
24,RLAIF-V-63676,COCO,Describe the key features of the image in great detail.
24,RLAIF-V-66585,COCO,Describe the key features of the image in great detail.
24,RLAIF-V-72724,COCO,Describe the key features of the image in great detail.
24,RLAIF-V-75935,COCO,Describe the key features of the image in great detail.
24,RLHF-V-2552,coco,Describe the key features of the image in great detail.
24,RLHF-V-2563,coco,Describe the key features of the image in great detail.
24,RLHF-V-5176,coco,Describe the key features of the image in great detail.
25,RLAIF-V-1169,LCS-558K,Describe the key features of the image in great detail.
25,RLAIF-V-2500,COCO,Describe the key features of the image in great detail.
25,RLAIF-V-63676,COCO,Describe the key features of the image in great detail.
25,RLAIF-V-66585,COCO,Describe the key features of the image in great detail.
25,RLAIF-V-72724,COCO,Describe the key features of the image in great detail.
25,RLAIF-V-75935,COCO,Describe the key features of the image in great detail.
25,RLHF-V-2552,coco,Describe the key features of the image in great detail.
25,RLHF-V-2563,coco,Describe the key features of the image in great detail.
25,RLHF-V-5176,coco,Describe the key features of the image in great detail.
27,RLAIF-V-21990,Google-Landmark,"Create a detailed description describing the elements of the given worldwide landmark image. Identify the name of the landmark and describe the objects, colors, perspectives, etc."
27,RLAIF-V-25610,Google-Landmark,"Create a detailed description describing the elements of the given worldwide landmark image. Identify the name of the landmark and describe the objects, colors, perspectives, etc."
27,RLAIF-V-39464,sharegpt4v-web-landmark,"Create a detailed description describing the elements of the given worldwide landmark image. Identify the name of the landmark and describe the objects, colors, perspectives, etc."
28,RLAIF-V-10273,COCO,Provide an intricate description of every entity in the image.
28,RLAIF-V-15279,COCO,Provide an intricate description of every entity in the image.
28,RLAIF-V-38307,LCS-558K,Provide an intricate description of every entity in the image.
28,RLAIF-V-7260,COCO,Provide an intricate description of every entity in the image.
29,RLAIF-V-1872,COCO,Explain the elements of the image with thorough attention to detail.
29,RLAIF-V-21465,COCO,Explain the elements of the image with thorough attention to detail.
29,RLAIF-V-25866,COCO,Explain the elements of the image with thorough attention to detail.
29,RLAIF-V-70363,LCS-558K,Explain the elements of the image with thorough attention to detail.
29,RLHF-V-4161,coco,Explain the elements of the image with thorough attention to detail.
30,RLAIF-V-3983,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
30,RLAIF-V-44447,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
30,RLAIF-V-75270,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
30,RLAIF-V-75438,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
30,RLAIF-V-76386,LCS-558K,"Tell me what catches your eye in the image, and describe those elements in depth."
30,RLAIF-V-79331,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
30,RLAIF-V-8914,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
30,RLAIF-V-9371,LCS-558K,"Tell me what catches your eye in the image, and describe those elements in depth."
30,RLHF-V-4271,coco,"Tell me what catches your eye in the image, and describe those elements in depth."
33,RLAIF-V-13503,LCS-558K,What are the main elements in this image? Describe them thoroughly.
33,RLAIF-V-25309,COCO,What are the main elements in this image? Describe them thoroughly.
33,RLAIF-V-39969,COCO,What are the main elements in this image? Describe them thoroughly.
33,RLAIF-V-43132,COCO,What are the main elements in this image? Describe them thoroughly.
33,RLAIF-V-56821,LCS-558K,What are the main elements in this image? Describe them thoroughly.
33,RLAIF-V-66231,LCS-558K,What are the main elements in this image? Describe them thoroughly.
33,RLAIF-V-73754,LCS-558K,What are the main elements in this image? Describe them thoroughly.
33,RLAIF-V-7589,LCS-558K,What are the main elements in this image? Describe them thoroughly.
33,RLAIF-V-77170,LCS-558K,What are the main elements in this image? Describe them thoroughly.
33,RLHF-V-3669,coco,What are the main elements in this image? Describe them thoroughly.
33,RLHF-V-5328,coco,What are the main elements in this image? Describe them thoroughly.
34,RLAIF-V-1872,COCO,Explain the elements of the image with thorough attention to detail.
34,RLAIF-V-21465,COCO,Explain the elements of the image with thorough attention to detail.
34,RLAIF-V-25866,COCO,Explain the elements of the image with thorough attention to detail.
34,RLAIF-V-70363,LCS-558K,Explain the elements of the image with thorough attention to detail.
34,RLHF-V-4161,coco,Explain the elements of the image with thorough attention to detail.
36,RLAIF-V-16742,LCS-558K,What are the key features you observe in the image?
36,RLAIF-V-42889,COCO,What are the key features you observe in the image?
36,RLAIF-V-43117,LCS-558K,What are the key features you observe in the image?
36,RLAIF-V-64074,LCS-558K,What are the key features you observe in the image?
36,RLAIF-V-68603,COCO,What are the key features you observe in the image?
36,RLHF-V-3862,coco,What are the key features you observe in the image?
37,RLAIF-V-41395,LCS-558K,Identify and describe each object in the image in detail.
37,RLAIF-V-64437,COCO,Identify and describe each object in the image in detail.
37,RLAIF-V-69811,COCO,Identify and describe each object in the image in detail.
37,RLAIF-V-74768,COCO,Identify and describe each object in the image in detail.
37,RLAIF-V-81903,COCO,Identify and describe each object in the image in detail.
40,RLAIF-V-16020,OCR-VQA,What type of book is this?
41,RLAIF-V-41480,COCO,Explain what's happening in the image with as much detail as possible.
41,RLAIF-V-63938,LCS-558K,Explain what's happening in the image with as much detail as possible.
41,RLHF-V-957,LCS-558K,Explain what's happening in the image with as much detail as possible.
44,RLAIF-V-55190,sharegpt4v-textvqa,"Describe every aspect of the image with as much detail as possible, including text contents, font and color if visible."
44,RLAIF-V-66295,sharegpt4v-textvqa,"Describe every aspect of the image with as much detail as possible, including text contents, font and color if visible."
45,RLAIF-V-32366,MovieNet,"Create an in-depth description describing the people in the given image, include the person/character name, actions, expressions, etc."
45,RLAIF-V-45709,sharegpt4v-web-celebrity,"Create an in-depth description describing the people in the given image, include the person/character name, actions, expressions, etc."
45,RLAIF-V-5066,sharegpt4v-web-celebrity,"Create an in-depth description describing the people in the given image, include the person/character name, actions, expressions, etc."
45,RLAIF-V-81811,sharegpt4v-web-celebrity,"Create an in-depth description describing the people in the given image, include the person/character name, actions, expressions, etc."
48,RLAIF-V-1169,LCS-558K,Describe the key features of the image in great detail.
48,RLAIF-V-2500,COCO,Describe the key features of the image in great detail.
48,RLAIF-V-63676,COCO,Describe the key features of the image in great detail.
48,RLAIF-V-66585,COCO,Describe the key features of the image in great detail.
48,RLAIF-V-72724,COCO,Describe the key features of the image in great detail.
48,RLAIF-V-75935,COCO,Describe the key features of the image in great detail.
48,RLHF-V-2552,coco,Describe the key features of the image in great detail.
48,RLHF-V-2563,coco,Describe the key features of the image in great detail.
48,RLHF-V-5176,coco,Describe the key features of the image in great detail.
50,RLAIF-V-5046,LCS-558K,Can you point out the details that make this image unique?
50,RLAIF-V-63127,COCO,Can you point out the details that make this image unique?
50,RLAIF-V-68611,COCO,Can you point out the details that make this image unique?
50,RLAIF-V-70860,COCO,Can you point out the details that make this image unique?
50,RLAIF-V-71010,COCO,Can you point out the details that make this image unique?
50,RLAIF-V-76753,COCO,Can you point out the details that make this image unique?
51,RLAIF-V-3983,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
51,RLAIF-V-44447,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
51,RLAIF-V-75270,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
51,RLAIF-V-75438,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
51,RLAIF-V-76386,LCS-558K,"Tell me what catches your eye in the image, and describe those elements in depth."
51,RLAIF-V-79331,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
51,RLAIF-V-8914,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
51,RLAIF-V-9371,LCS-558K,"Tell me what catches your eye in the image, and describe those elements in depth."
51,RLHF-V-4271,coco,"Tell me what catches your eye in the image, and describe those elements in depth."
52,RLAIF-V-10273,COCO,Provide an intricate description of every entity in the image.
52,RLAIF-V-15279,COCO,Provide an intricate description of every entity in the image.
52,RLAIF-V-38307,LCS-558K,Provide an intricate description of every entity in the image.
52,RLAIF-V-7260,COCO,Provide an intricate description of every entity in the image.
53,RLAIF-V-5046,LCS-558K,Can you point out the details that make this image unique?
53,RLAIF-V-63127,COCO,Can you point out the details that make this image unique?
53,RLAIF-V-68611,COCO,Can you point out the details that make this image unique?
53,RLAIF-V-70860,COCO,Can you point out the details that make this image unique?
53,RLAIF-V-71010,COCO,Can you point out the details that make this image unique?
53,RLAIF-V-76753,COCO,Can you point out the details that make this image unique?
54,RLAIF-V-3983,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
54,RLAIF-V-44447,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
54,RLAIF-V-75270,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
54,RLAIF-V-75438,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
54,RLAIF-V-76386,LCS-558K,"Tell me what catches your eye in the image, and describe those elements in depth."
54,RLAIF-V-79331,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
54,RLAIF-V-8914,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
54,RLAIF-V-9371,LCS-558K,"Tell me what catches your eye in the image, and describe those elements in depth."
54,RLHF-V-4271,coco,"Tell me what catches your eye in the image, and describe those elements in depth."
60,RLAIF-V-23227,LCS-558K,What is the setting or environment in which the image takes place?
60,RLAIF-V-26263,LCS-558K,What is the setting or environment in which the image takes place?
60,RLAIF-V-28331,COCO,What is the setting or environment in which the image takes place?
60,RLAIF-V-33435,COCO,What is the setting or environment in which the image takes place?
60,RLAIF-V-34267,LCS-558K,What is the setting or environment in which the image takes place?
60,RLAIF-V-66218,COCO,What is the setting or environment in which the image takes place?
60,RLAIF-V-74583,LCS-558K,What is the setting or environment in which the image takes place?
60,RLAIF-V-75807,LCS-558K,What is the setting or environment in which the image takes place?
60,RLAIF-V-77744,COCO,What is the setting or environment in which the image takes place?
60,RLAIF-V-79294,LCS-558K,What is the setting or environment in which the image takes place?
60,RLHF-V-219,coco,What is the setting or environment in which the image takes place?
60,RLHF-V-223,LCS-558K,What is the setting or environment in which the image takes place?
61,RLAIF-V-12608,COCO,Detail the image's components with particular focus on each entity.
61,RLAIF-V-13292,LCS-558K,Detail the image's components with particular focus on each entity.
61,RLAIF-V-1987,COCO,Detail the image's components with particular focus on each entity.
61,RLAIF-V-2163,COCO,Detail the image's components with particular focus on each entity.
61,RLAIF-V-3533,COCO,Detail the image's components with particular focus on each entity.
61,RLAIF-V-42319,LCS-558K,Detail the image's components with particular focus on each entity.
61,RLAIF-V-4904,LCS-558K,Detail the image's components with particular focus on each entity.
61,RLAIF-V-53980,COCO,Detail the image's components with particular focus on each entity.
61,RLAIF-V-60191,COCO,Detail the image's components with particular focus on each entity.
61,RLAIF-V-71738,LCS-558K,Detail the image's components with particular focus on each entity.
61,RLAIF-V-78397,COCO,Detail the image's components with particular focus on each entity.
61,RLAIF-V-82325,COCO,Detail the image's components with particular focus on each entity.
61,RLHF-V-3808,coco,Detail the image's components with particular focus on each entity.
64,RLAIF-V-41395,LCS-558K,Identify and describe each object in the image in detail.
64,RLAIF-V-64437,COCO,Identify and describe each object in the image in detail.
64,RLAIF-V-69811,COCO,Identify and describe each object in the image in detail.
64,RLAIF-V-74768,COCO,Identify and describe each object in the image in detail.
64,RLAIF-V-81903,COCO,Identify and describe each object in the image in detail.
65,RLAIF-V-5046,LCS-558K,Can you point out the details that make this image unique?
65,RLAIF-V-63127,COCO,Can you point out the details that make this image unique?
65,RLAIF-V-68611,COCO,Can you point out the details that make this image unique?
65,RLAIF-V-70860,COCO,Can you point out the details that make this image unique?
65,RLAIF-V-71010,COCO,Can you point out the details that make this image unique?
65,RLAIF-V-76753,COCO,Can you point out the details that make this image unique?
66,RLAIF-V-41480,COCO,Explain what's happening in the image with as much detail as possible.
66,RLAIF-V-63938,LCS-558K,Explain what's happening in the image with as much detail as possible.
66,RLHF-V-957,LCS-558K,Explain what's happening in the image with as much detail as possible.
67,RLAIF-V-12608,COCO,Detail the image's components with particular focus on each entity.
67,RLAIF-V-13292,LCS-558K,Detail the image's components with particular focus on each entity.
67,RLAIF-V-1987,COCO,Detail the image's components with particular focus on each entity.
67,RLAIF-V-2163,COCO,Detail the image's components with particular focus on each entity.
67,RLAIF-V-3533,COCO,Detail the image's components with particular focus on each entity.
67,RLAIF-V-42319,LCS-558K,Detail the image's components with particular focus on each entity.
67,RLAIF-V-4904,LCS-558K,Detail the image's components with particular focus on each entity.
67,RLAIF-V-53980,COCO,Detail the image's components with particular focus on each entity.
67,RLAIF-V-60191,COCO,Detail the image's components with particular focus on each entity.
67,RLAIF-V-71738,LCS-558K,Detail the image's components with particular focus on each entity.
67,RLAIF-V-78397,COCO,Detail the image's components with particular focus on each entity.
67,RLAIF-V-82325,COCO,Detail the image's components with particular focus on each entity.
67,RLHF-V-3808,coco,Detail the image's components with particular focus on each entity.
70,RLAIF-V-1169,LCS-558K,Describe the key features of the image in great detail.
70,RLAIF-V-2500,COCO,Describe the key features of the image in great detail.
70,RLAIF-V-63676,COCO,Describe the key features of the image in great detail.
70,RLAIF-V-66585,COCO,Describe the key features of the image in great detail.
70,RLAIF-V-72724,COCO,Describe the key features of the image in great detail.
70,RLAIF-V-75935,COCO,Describe the key features of the image in great detail.
70,RLHF-V-2552,coco,Describe the key features of the image in great detail.
70,RLHF-V-2563,coco,Describe the key features of the image in great detail.
70,RLHF-V-5176,coco,Describe the key features of the image in great detail.
71,RLAIF-V-13503,LCS-558K,What are the main elements in this image? Describe them thoroughly.
71,RLAIF-V-25309,COCO,What are the main elements in this image? Describe them thoroughly.
71,RLAIF-V-39969,COCO,What are the main elements in this image? Describe them thoroughly.
71,RLAIF-V-43132,COCO,What are the main elements in this image? Describe them thoroughly.
71,RLAIF-V-56821,LCS-558K,What are the main elements in this image? Describe them thoroughly.
71,RLAIF-V-66231,LCS-558K,What are the main elements in this image? Describe them thoroughly.
71,RLAIF-V-73754,LCS-558K,What are the main elements in this image? Describe them thoroughly.
71,RLAIF-V-7589,LCS-558K,What are the main elements in this image? Describe them thoroughly.
71,RLAIF-V-77170,LCS-558K,What are the main elements in this image? Describe them thoroughly.
71,RLHF-V-3669,coco,What are the main elements in this image? Describe them thoroughly.
71,RLHF-V-5328,coco,What are the main elements in this image? Describe them thoroughly.
73,RLAIF-V-12608,COCO,Detail the image's components with particular focus on each entity.
73,RLAIF-V-13292,LCS-558K,Detail the image's components with particular focus on each entity.
73,RLAIF-V-1987,COCO,Detail the image's components with particular focus on each entity.
73,RLAIF-V-2163,COCO,Detail the image's components with particular focus on each entity.
73,RLAIF-V-3533,COCO,Detail the image's components with particular focus on each entity.
73,RLAIF-V-42319,LCS-558K,Detail the image's components with particular focus on each entity.
73,RLAIF-V-4904,LCS-558K,Detail the image's components with particular focus on each entity.
73,RLAIF-V-53980,COCO,Detail the image's components with particular focus on each entity.
73,RLAIF-V-60191,COCO,Detail the image's components with particular focus on each entity.
73,RLAIF-V-71738,LCS-558K,Detail the image's components with particular focus on each entity.
73,RLAIF-V-78397,COCO,Detail the image's components with particular focus on each entity.
73,RLAIF-V-82325,COCO,Detail the image's components with particular focus on each entity.
73,RLHF-V-3808,coco,Detail the image's components with particular focus on each entity.
74,RLAIF-V-35665,TextVQA,"Detail the texts and other components in the image in depth, explaining their relevance to the overall picture."
75,RLAIF-V-13503,LCS-558K,What are the main elements in this image? Describe them thoroughly.
75,RLAIF-V-25309,COCO,What are the main elements in this image? Describe them thoroughly.
75,RLAIF-V-39969,COCO,What are the main elements in this image? Describe them thoroughly.
75,RLAIF-V-43132,COCO,What are the main elements in this image? Describe them thoroughly.
75,RLAIF-V-56821,LCS-558K,What are the main elements in this image? Describe them thoroughly.
75,RLAIF-V-66231,LCS-558K,What are the main elements in this image? Describe them thoroughly.
75,RLAIF-V-73754,LCS-558K,What are the main elements in this image? Describe them thoroughly.
75,RLAIF-V-7589,LCS-558K,What are the main elements in this image? Describe them thoroughly.
75,RLAIF-V-77170,LCS-558K,What are the main elements in this image? Describe them thoroughly.
75,RLHF-V-3669,coco,What are the main elements in this image? Describe them thoroughly.
75,RLHF-V-5328,coco,What are the main elements in this image? Describe them thoroughly.
85,RLAIF-V-64297,OK-VQA,Is this veggies or fruits?
87,RLAIF-V-1872,COCO,Explain the elements of the image with thorough attention to detail.
87,RLAIF-V-21465,COCO,Explain the elements of the image with thorough attention to detail.
87,RLAIF-V-25866,COCO,Explain the elements of the image with thorough attention to detail.
87,RLAIF-V-70363,LCS-558K,Explain the elements of the image with thorough attention to detail.
87,RLHF-V-4161,coco,Explain the elements of the image with thorough attention to detail.
91,RLAIF-V-1169,LCS-558K,Describe the key features of the image in great detail.
91,RLAIF-V-2500,COCO,Describe the key features of the image in great detail.
91,RLAIF-V-63676,COCO,Describe the key features of the image in great detail.
91,RLAIF-V-66585,COCO,Describe the key features of the image in great detail.
91,RLAIF-V-72724,COCO,Describe the key features of the image in great detail.
91,RLAIF-V-75935,COCO,Describe the key features of the image in great detail.
91,RLHF-V-2552,coco,Describe the key features of the image in great detail.
91,RLHF-V-2563,coco,Describe the key features of the image in great detail.
91,RLHF-V-5176,coco,Describe the key features of the image in great detail.
94,RLAIF-V-14901,Google-Landmark,"Give a thorough description of the image, focusing on the landmark it shows."
94,RLAIF-V-49459,sharegpt4v-web-landmark,"Give a thorough description of the image, focusing on the landmark it shows."
94,RLAIF-V-82592,sharegpt4v-web-landmark,"Give a thorough description of the image, focusing on the landmark it shows."
98,RLAIF-V-13503,LCS-558K,What are the main elements in this image? Describe them thoroughly.
98,RLAIF-V-25309,COCO,What are the main elements in this image? Describe them thoroughly.
98,RLAIF-V-39969,COCO,What are the main elements in this image? Describe them thoroughly.
98,RLAIF-V-43132,COCO,What are the main elements in this image? Describe them thoroughly.
98,RLAIF-V-56821,LCS-558K,What are the main elements in this image? Describe them thoroughly.
98,RLAIF-V-66231,LCS-558K,What are the main elements in this image? Describe them thoroughly.
98,RLAIF-V-73754,LCS-558K,What are the main elements in this image? Describe them thoroughly.
98,RLAIF-V-7589,LCS-558K,What are the main elements in this image? Describe them thoroughly.
98,RLAIF-V-77170,LCS-558K,What are the main elements in this image? Describe them thoroughly.
98,RLHF-V-3669,coco,What are the main elements in this image? Describe them thoroughly.
98,RLHF-V-5328,coco,What are the main elements in this image? Describe them thoroughly.
100,RLAIF-V-13503,LCS-558K,What are the main elements in this image? Describe them thoroughly.
100,RLAIF-V-25309,COCO,What are the main elements in this image? Describe them thoroughly.
100,RLAIF-V-39969,COCO,What are the main elements in this image? Describe them thoroughly.
100,RLAIF-V-43132,COCO,What are the main elements in this image? Describe them thoroughly.
100,RLAIF-V-56821,LCS-558K,What are the main elements in this image? Describe them thoroughly.
100,RLAIF-V-66231,LCS-558K,What are the main elements in this image? Describe them thoroughly.
100,RLAIF-V-73754,LCS-558K,What are the main elements in this image? Describe them thoroughly.
100,RLAIF-V-7589,LCS-558K,What are the main elements in this image? Describe them thoroughly.
100,RLAIF-V-77170,LCS-558K,What are the main elements in this image? Describe them thoroughly.
100,RLHF-V-3669,coco,What are the main elements in this image? Describe them thoroughly.
100,RLHF-V-5328,coco,What are the main elements in this image? Describe them thoroughly.
105,RLAIF-V-13487,LCS-558K,Itemize the elements you identify in the image and describe them thoroughly.
105,RLAIF-V-26826,COCO,Itemize the elements you identify in the image and describe them thoroughly.
105,RLAIF-V-43413,LCS-558K,Itemize the elements you identify in the image and describe them thoroughly.
105,RLAIF-V-53523,COCO,Itemize the elements you identify in the image and describe them thoroughly.
105,RLAIF-V-54659,COCO,Itemize the elements you identify in the image and describe them thoroughly.
105,RLAIF-V-74665,COCO,Itemize the elements you identify in the image and describe them thoroughly.
105,RLAIF-V-75171,LCS-558K,Itemize the elements you identify in the image and describe them thoroughly.
105,RLAIF-V-77217,LCS-558K,Itemize the elements you identify in the image and describe them thoroughly.
105,RLAIF-V-79527,COCO,Itemize the elements you identify in the image and describe them thoroughly.
105,RLHF-V-1533,LCS-558K,Itemize the elements you identify in the image and describe them thoroughly.
105,RLHF-V-3907,coco,Itemize the elements you identify in the image and describe them thoroughly.
105,RLHF-V-5095,coco,Itemize the elements you identify in the image and describe them thoroughly.
106,RLAIF-V-38612,OCR-VQA,What is the title of this book?
106,RLAIF-V-55592,OCR-VQA,What is the title of this book?
113,RLAIF-V-13487,LCS-558K,Itemize the elements you identify in the image and describe them thoroughly.
113,RLAIF-V-26826,COCO,Itemize the elements you identify in the image and describe them thoroughly.
113,RLAIF-V-43413,LCS-558K,Itemize the elements you identify in the image and describe them thoroughly.
113,RLAIF-V-53523,COCO,Itemize the elements you identify in the image and describe them thoroughly.
113,RLAIF-V-54659,COCO,Itemize the elements you identify in the image and describe them thoroughly.
113,RLAIF-V-74665,COCO,Itemize the elements you identify in the image and describe them thoroughly.
113,RLAIF-V-75171,LCS-558K,Itemize the elements you identify in the image and describe them thoroughly.
113,RLAIF-V-77217,LCS-558K,Itemize the elements you identify in the image and describe them thoroughly.
113,RLAIF-V-79527,COCO,Itemize the elements you identify in the image and describe them thoroughly.
113,RLHF-V-1533,LCS-558K,Itemize the elements you identify in the image and describe them thoroughly.
113,RLHF-V-3907,coco,Itemize the elements you identify in the image and describe them thoroughly.
113,RLHF-V-5095,coco,Itemize the elements you identify in the image and describe them thoroughly.
115,RLAIF-V-13503,LCS-558K,What are the main elements in this image? Describe them thoroughly.
115,RLAIF-V-25309,COCO,What are the main elements in this image? Describe them thoroughly.
115,RLAIF-V-39969,COCO,What are the main elements in this image? Describe them thoroughly.
115,RLAIF-V-43132,COCO,What are the main elements in this image? Describe them thoroughly.
115,RLAIF-V-56821,LCS-558K,What are the main elements in this image? Describe them thoroughly.
115,RLAIF-V-66231,LCS-558K,What are the main elements in this image? Describe them thoroughly.
115,RLAIF-V-73754,LCS-558K,What are the main elements in this image? Describe them thoroughly.
115,RLAIF-V-7589,LCS-558K,What are the main elements in this image? Describe them thoroughly.
115,RLAIF-V-77170,LCS-558K,What are the main elements in this image? Describe them thoroughly.
115,RLHF-V-3669,coco,What are the main elements in this image? Describe them thoroughly.
115,RLHF-V-5328,coco,What are the main elements in this image? Describe them thoroughly.
116,RLAIF-V-23227,LCS-558K,What is the setting or environment in which the image takes place?
116,RLAIF-V-26263,LCS-558K,What is the setting or environment in which the image takes place?
116,RLAIF-V-28331,COCO,What is the setting or environment in which the image takes place?
116,RLAIF-V-33435,COCO,What is the setting or environment in which the image takes place?
116,RLAIF-V-34267,LCS-558K,What is the setting or environment in which the image takes place?
116,RLAIF-V-66218,COCO,What is the setting or environment in which the image takes place?
116,RLAIF-V-74583,LCS-558K,What is the setting or environment in which the image takes place?
116,RLAIF-V-75807,LCS-558K,What is the setting or environment in which the image takes place?
